document,label
현타 ㄹㅇ 심하게 오고 멘탈도 다 깨지면 어떻게해?,0
불구하고 근데  저거 그냥 가라앉을꺼같은 느낌은 뭐지?,0
하는여자 열심히 웨이트 이상한가요?????????? ???,0
쫒겨났어요. 부모님집에서 살다가,0
안주면 양육비를 재산과 면접교섭권도 박탈되는건가요?1,0
수 어쩔 없는 척 했지만사실은 겁이나고 두려워서 도망친거야,0
그럴때마다 어떻게 대해야될지 모르겠어..,0
 성격을다떠나서 절좋아하면 안그러는겟죠..?,0
진심  불날까봐 걱정되서 그런다.,0
무서워서 세상이  고민;;;,0
시험안되면 이러다가 취업은어떻하나 하고 너무 걱정이 됩니다...,0
좀 일어날까봐 현상 걱정도 되고...,0
한다고 내야 300만원을 했거든요..,0
머리가 갑자기  하얘짐ㅋ,0
 여름되어서 짧은 장마에 가뭄이 다시 시작할까 걱정입니다,0
그냥 이대로 그래서 또 잃어버리는건가 두렵다,0
"등과 학업 연애, 관련된 상담해주실분 계세요??",0
정말.하루하루가 불지옥같다..,0
월요일날 넣어주겠다고 했으니기다려보긴 하겠는데ㅠ,0
걱정됩니다 애인으로써 정말,0
 한시간반동안 일년이나버틸수있을지..,0
해야될까요?0 어떻게 뭘,0
어케해야할까요0 ,0
선착순으로 입학금을 입금하는 사람부터 입학된다고 하던데조마조마합니다ㅠㅠ,0
상태 마르테 좋으려나....,0
 저 저에 대한 마음 변하지 않겠죠?,0
함지금  한달반 남은 시점에 어떻게 될지 모르겠음.,0
이걱정  저걱정이 너무 많아서 헤어져야하나 고민이네요..,0
스코틀랜드 브렉시트에 독립까지 이루어지면 파장이 너무 커지는데..,0
다이어트 할 때 굶으면 몸이 많이 상할 거 같아서요,0
차라리 3주짼데 지금 한번 연락하고 까이고 확실하게 미련없애고 싶은데 괜찮을까요...,0
무슨 심리일까요...?,0
? 믿을만한건지요,0
집에 아무도 없고 아내도 전화를 안받는다고집 비밀번호를 알려달라는데 좀 찜찜사더군요..,0
극복해야 어떻게 할까요,0
현재 고3으로 취업쪽 진학에 개속 걸리는덕에 스트레스가 이만 저만 아니라 자해도 하고 싶다고 느껴지는데 겁이많아서 그런걸 못해요,0
 맘이 좀불안하긴하네요..,0
3연패로 삼성한테 드림리그 3위인 삼성과 승률차이가 너무많이 나네요...,0
그런데 키가 정말 취업에 영향을 미치나요?,0
 오늘 아침 핸폰에 안뜨길래 노트북으로 들어가봤는데도 없더라구요...,0
말못한다고 혹시라도 때릴까봐 혹여라도 잘못될까봐 미치겠어요.,0
어떻게 해야할까요.,0
걱정입니다.. 부담스러워하실지,0
매 순간들이 힘든 있겠지만..,0
얼굴1도모르고.. 다른지점언니들이있긴하지만,0
그런데 그렇게 해도 되는건가요?ㅠㅠ,0
글이 좀 길어 올릴까 말까 고민되네요,0
이러다가  평생노는거 아닌지 걱정됨 ㅠㅠ,0
일한지 못받고 인수인계도 사개월 되었네요.,0
좀 알면 도와주세효~,0
왜이러는거죠,0
추운데 날씨도 걱정이많네요...,0
전남친에게 있는 썸타고 연락하면제가 더 싫어지겠죠..?,0
이러는건지.. 남친만 제,0
이거  뭐 어떻게 해야하는 방법없어요?,0
하는짓거리 이인간 보니 진짜 우리도 주한미군 철수할거 대비해서 전략적으로 핵무기 준비해야 될지도 모르겠다.,0
좀불안하긴하네요.. 맘이 ,0
무섭다 존.나 뭔가,0
엄마 수료식인데 11월에 생신이랑 겹쳤어요ㅠ,0
교통비만 해도 장난 아닐 것 같은데..0,0
저는  진짜 노력을해도 좀처럼 낳이지지않는걸어떻해요ㅠ,0
위가많이 제가  늘어난 상태라 식이요법을 어떻게 해야하는지 모르겠어요...,0
두려운데...0 뭍힐까바,0
다니는 우체국  7급 공무원이라는데 남편으로서 비전 있을까요..?,0
제가 근데 좀 여자같은 성격이란거먼저 말걸어줘야 말하는 스탈분명 남잔데...;;0,0
홧김이 준비했다면 미리 아니라 계획적이다,0
하면 일을 할수록 줄어야하는데 점점 늘어나 힘들어합니다.,0
넘공백기간이되다보니 자신감이넘떨어지고사람도만나기두렵고..,0
예정일이  보름이나 지나도 생리를 안해요,0
일보는중에 중요한장면지나가면어떡하져???1,0
잠시 했는데 무슨말을 해야될지 도저히 감이 안오네요 ㅡㅡ;,0
 제가 진짜 예민한거에요..?,0
도네 긴장감이 역대급 뭐라도 터지겠다.,0
확정될때쯤되면나 정황들이 이런 이제 대통령 안할래이러구 끝날까 두렵네,0
유산인 혹시 가능성도 잇나요...?,0
